Date,Source,Site.ID,POC,Daily.Max.1.hour.SO2.Concentration,UNITS,DAILY_AQI_VALUE,Site.Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/24/2016,AQS,360010012,1,1.4,ppb,1,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
1/25/2016,AQS,360010012,1,1.9,ppb,1,LOUDONVILLE,21,88,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
1/26/2016,AQS,360010012,1,2.3,ppb,3,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
1/27/2016,AQS,360010012,1,1.4,ppb,1,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
1/28/2016,AQS,360010012,1,1.7,ppb,1,LOUDONVILLE,22,92,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
1/29/2016,AQS,360010012,1,1.9,ppb,1,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
1/30/2016,AQS,360010012,1,2.4,ppb,3,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
1/31/2016,AQS,360010012,1,2.1,ppb,3,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
2/1/2016,AQS,360010012,1,3.3,ppb,4,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
2/2/2016,AQS,360010012,1,0.9,ppb,0,LOUDONVILLE,20,83,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
2/3/2016,AQS,360010012,1,0.5,ppb,0,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
2/4/2016,AQS,360010012,1,0.5,ppb,0,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
2/5/2016,AQS,360010012,1,0.9,ppb,0,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
2/6/2016,AQS,360010012,1,4.5,ppb,6,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
2/7/2016,AQS,360010012,1,2.4,ppb,3,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
2/8/2016,AQS,360010012,1,0.5,ppb,0,LOUDONVILLE,21,88,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
2/9/2016,AQS,360010012,1,4.2,ppb,6,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
2/10/2016,AQS,360010012,1,1.8,ppb,1,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
2/11/2016,AQS,360010012,1,0.8,ppb,0,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
2/12/2016,AQS,360010012,1,1.2,ppb,1,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
2/13/2016,AQS,360010012,1,1.4,ppb,1,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
2/14/2016,AQS,360010012,1,0.7,ppb,0,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
2/15/2016,AQS,360010012,1,1.9,ppb,1,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
2/16/2016,AQS,360010012,1,2.5,ppb,3,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
2/17/2016,AQS,360010012,1,0.9,ppb,0,LOUDONVILLE,22,92,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
2/18/2016,AQS,360010012,1,0.8,ppb,0,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
2/19/2016,AQS,360010012,1,0.7,ppb,0,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
2/20/2016,AQS,360010012,1,8.5,ppb,11,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
2/21/2016,AQS,360010012,1,0.7,ppb,0,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
2/22/2016,AQS,360010012,1,0.4,ppb,0,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
2/23/2016,AQS,360010012,1,0.9,ppb,0,LOUDONVILLE,22,92,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
2/24/2016,AQS,360010012,1,0.4,ppb,0,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
2/25/2016,AQS,360010012,1,0.9,ppb,0,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
2/26/2016,AQS,360010012,1,0.7,ppb,0,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
2/27/2016,AQS,360010012,1,1.9,ppb,1,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
2/28/2016,AQS,360010012,1,1.2,ppb,1,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
2/29/2016,AQS,360010012,1,0.8,ppb,0,LOUDONVILLE,22,92,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
3/1/2016,AQS,360010012,1,2.9,ppb,3,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
3/2/2016,AQS,360010012,1,0.7,ppb,0,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
3/3/2016,AQS,360010012,1,0.5,ppb,0,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
3/4/2016,AQS,360010012,1,0.5,ppb,0,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
3/5/2016,AQS,360010012,1,1.1,ppb,1,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
3/6/2016,AQS,360010012,1,0.8,ppb,0,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
3/7/2016,AQS,360010012,1,1.6,ppb,1,LOUDONVILLE,21,88,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
3/8/2016,AQS,360010012,1,1.6,ppb,1,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
3/9/2016,AQS,360010012,1,1.1,ppb,1,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
3/10/2016,AQS,360010012,1,0.8,ppb,0,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
3/11/2016,AQS,360010012,1,0.2,ppb,0,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
3/12/2016,AQS,360010012,1,1.6,ppb,1,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
3/13/2016,AQS,360010012,1,0.9,ppb,0,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
3/14/2016,AQS,360010012,1,0.4,ppb,0,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
3/15/2016,AQS,360010012,1,0.8,ppb,0,LOUDONVILLE,22,92,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
3/16/2016,AQS,360010012,1,2.1,ppb,3,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
3/17/2016,AQS,360010012,1,0.2,ppb,0,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
3/18/2016,AQS,360010012,1,0.2,ppb,0,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
3/19/2016,AQS,360010012,1,0.3,ppb,0,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
3/20/2016,AQS,360010012,1,0.8,ppb,0,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
3/21/2016,AQS,360010012,1,0.8,ppb,0,LOUDONVILLE,22,92,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
3/22/2016,AQS,360010012,1,1.9,ppb,1,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
3/23/2016,AQS,360010012,1,1.3,ppb,1,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
3/24/2016,AQS,360010012,1,0.8,ppb,0,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
3/25/2016,AQS,360010012,1,0.2,ppb,0,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
3/26/2016,AQS,360010012,1,0.3,ppb,0,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
3/27/2016,AQS,360010012,1,0.2,ppb,0,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
3/28/2016,AQS,360010012,1,1.1,ppb,1,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
3/29/2016,AQS,360010012,1,0.2,ppb,0,LOUDONVILLE,21,88,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
3/30/2016,AQS,360010012,1,0.5,ppb,0,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
3/31/2016,AQS,360010012,1,0.7,ppb,0,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
4/1/2016,AQS,360010012,1,0.4,ppb,0,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
4/2/2016,AQS,360010012,1,0.6,ppb,0,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
4/3/2016,AQS,360010012,1,0.3,ppb,0,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
4/4/2016,AQS,360010012,1,0.3,ppb,0,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
4/5/2016,AQS,360010012,1,1.8,ppb,1,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
4/6/2016,AQS,360010012,1,1.8,ppb,1,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
4/7/2016,AQS,360010012,1,0.3,ppb,0,LOUDONVILLE,22,92,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
4/8/2016,AQS,360010012,1,0.3,ppb,0,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
4/9/2016,AQS,360010012,1,0.6,ppb,0,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
4/10/2016,AQS,360010012,1,0.7,ppb,0,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
4/11/2016,AQS,360010012,1,0.6,ppb,0,LOUDONVILLE,22,92,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
4/12/2016,AQS,360010012,1,0.4,ppb,0,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
4/13/2016,AQS,360010012,1,0.5,ppb,0,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
4/14/2016,AQS,360010012,1,1,ppb,1,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
4/15/2016,AQS,360010012,1,0.7,ppb,0,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
4/16/2016,AQS,360010012,1,2.3,ppb,3,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
4/17/2016,AQS,360010012,1,1.1,ppb,1,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
4/18/2016,AQS,360010012,1,1.7,ppb,1,LOUDONVILLE,22,92,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
4/19/2016,AQS,360010012,1,0.6,ppb,0,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
4/20/2016,AQS,360010012,1,0.4,ppb,0,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
4/21/2016,AQS,360010012,1,0.8,ppb,0,LOUDONVILLE,23,96,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
4/22/2016,AQS,360010012,1,0.9,ppb,0,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
4/23/2016,AQS,360010012,1,0.4,ppb,0,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
4/24/2016,AQS,360010012,1,0.4,ppb,0,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
4/25/2016,AQS,360010012,1,1.2,ppb,1,LOUDONVILLE,21,88,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
4/26/2016,AQS,360010012,1,0.6,ppb,0,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
4/27/2016,AQS,360010012,1,0.4,ppb,0,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
4/28/2016,AQS,360010012,1,0.5,ppb,0,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
4/29/2016,AQS,360010012,1,0.4,ppb,0,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
4/30/2016,AQS,360010012,1,0.9,ppb,0,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
5/1/2016,AQS,360010012,1,0.5,ppb,0,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
5/2/2016,AQS,360010012,1,0.2,ppb,0,LOUDONVILLE,21,88,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
5/3/2016,AQS,360010012,1,0.2,ppb,0,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
5/4/2016,AQS,360010012,1,0.4,ppb,0,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
5/5/2016,AQS,360010012,1,0.2,ppb,0,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
5/6/2016,AQS,360010012,1,0.2,ppb,0,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
5/7/2016,AQS,360010012,1,0.1,ppb,0,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
5/8/2016,AQS,360010012,1,0.2,ppb,0,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
5/9/2016,AQS,360010012,1,0.4,ppb,0,LOUDONVILLE,22,92,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
5/10/2016,AQS,360010012,1,0.7,ppb,0,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
5/11/2016,AQS,360010012,1,0.6,ppb,0,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
5/12/2016,AQS,360010012,1,2.1,ppb,3,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
5/13/2016,AQS,360010012,1,0.5,ppb,0,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
5/14/2016,AQS,360010012,1,0.6,ppb,0,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
5/15/2016,AQS,360010012,1,0.3,ppb,0,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
5/16/2016,AQS,360010012,1,0.3,ppb,0,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
5/17/2016,AQS,360010012,1,0.8,ppb,0,LOUDONVILLE,22,92,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
5/18/2016,AQS,360010012,1,0.4,ppb,0,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
5/19/2016,AQS,360010012,1,0.9,ppb,0,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
