Date,Source,Site_ID,POC,Daily_Mean_PM2.5_Concentration,UNITS,DAILY_AQI_VALUE,Site.Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
5/12/2016,AQS,360291013,3,8.4,ug/m3 LC,35,GRAND ISLE BOULDVARD,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.98844,-78.91859
5/13/2016,AQS,360291013,3,9.3,ug/m3 LC,39,GRAND ISLE BOULDVARD,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.98844,-78.91859
5/14/2016,AQS,360291013,3,2.6,ug/m3 LC,11,GRAND ISLE BOULDVARD,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.98844,-78.91859
5/15/2016,AQS,360291013,3,1.3,ug/m3 LC,5,GRAND ISLE BOULDVARD,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.98844,-78.91859
5/16/2016,AQS,360291013,3,7,ug/m3 LC,29,GRAND ISLE BOULDVARD,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.98844,-78.91859
5/17/2016,AQS,360291013,3,5.3,ug/m3 LC,22,GRAND ISLE BOULDVARD,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.98844,-78.91859
5/18/2016,AQS,360291013,3,3.5,ug/m3 LC,15,GRAND ISLE BOULDVARD,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.98844,-78.91859
5/19/2016,AQS,360291013,3,7,ug/m3 LC,29,GRAND ISLE BOULDVARD,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.98844,-78.91859
5/20/2016,AQS,360291013,3,6.8,ug/m3 LC,28,GRAND ISLE BOULDVARD,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.98844,-78.91859
5/21/2016,AQS,360291013,3,7.1,ug/m3 LC,30,GRAND ISLE BOULDVARD,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.98844,-78.91859
5/22/2016,AQS,360291013,3,8.9,ug/m3 LC,37,GRAND ISLE BOULDVARD,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.98844,-78.91859
5/23/2016,AQS,360291013,3,13.3,ug/m3 LC,54,GRAND ISLE BOULDVARD,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.98844,-78.91859
5/24/2016,AQS,360291013,3,13.4,ug/m3 LC,54,GRAND ISLE BOULDVARD,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.98844,-78.91859
5/25/2016,AQS,360291013,3,15.4,ug/m3 LC,58,GRAND ISLE BOULDVARD,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.98844,-78.91859
5/27/2016,AQS,360291013,3,4.4,ug/m3 LC,18,GRAND ISLE BOULDVARD,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.98844,-78.91859
5/28/2016,AQS,360291013,3,8.1,ug/m3 LC,34,GRAND ISLE BOULDVARD,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.98844,-78.91859
5/29/2016,AQS,360291013,3,11.7,ug/m3 LC,49,GRAND ISLE BOULDVARD,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.98844,-78.91859
5/30/2016,AQS,360291013,3,7.8,ug/m3 LC,33,GRAND ISLE BOULDVARD,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.98844,-78.91859
5/31/2016,AQS,360291013,3,5.2,ug/m3 LC,22,GRAND ISLE BOULDVARD,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.98844,-78.91859
6/1/2016,AQS,360291013,3,2,ug/m3 LC,8,GRAND ISLE BOULDVARD,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.98844,-78.91859
6/2/2016,AQS,360291013,3,12.3,ug/m3 LC,51,GRAND ISLE BOULDVARD,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.98844,-78.91859
6/3/2016,AQS,360291013,3,9.6,ug/m3 LC,40,GRAND ISLE BOULDVARD,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.98844,-78.91859
